行政区|供应公告标题|公告类型|发布时间|相关链接|宗地编号|宗地总面积|宗地坐落|出让年限|容积率|建筑密度|绿化率|建筑限高|土地用途明细|投资强度|保证金|估价报告备案号|起始价|加价幅度|挂牌开始时间|挂牌截止时间|现状土地条件|交纳竞买保证金的截止时间|行政区|土地坐落|总面积|土地用途|供应方式|签订时间|相关链接|行政区|电子监管号|项目名称|项目位置|面积|土地来源|土地用途|供地方式|土地使用年限|行业分类|土地级别|成交价格|土地使用权人|下限|上限|约定交地时间|约定开工时间|约定竣工时间|实际开工时间|实际竣工时间|批准单位|合同签订日期
|||||||||||||||||||||||盐城市本级|盐城经济技术开发区新城街道正丰村|6.443600|工业用地|挂牌出让|2019/6/6|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8A111C9FC8F83EBAE055000000000001|盐城市本级|3209002019B00177|阿特斯年产3GW太阳能高效电池光伏项目|盐城经济技术开发区新城街道正丰村|6.443600|0.000000|工业用地|挂牌出让|50|其它|九级|2010.4032|盐城阿特斯阳光能源科技有限公司|0.70|2.00|2020年02月06日|2020年04月06日|2022年04月06日|||盐城市人民政府|2019年06月06日
浦江县|浦江县自然资源和规划局国有建设用地使用权挂牌出让公告(浦自然资源告字〔2019〕18号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8533&sitePath=|浦江经济开发区界山区块（二期08-10-9地块）|12729.3平方米|星碧大道以北、百炼大道以东|50年|大于或等于1.5并且小于或等于3.5|大于或等于30|小于或等于20|小于或等于48|工业用地|3000万元/公顷|300万元||763.758万元|1元/平方米|2019年06月20日14时00分|2019年07月01日14时00分||2019年06月28日14时00分|||||||||||||||||||||||||||||
|||||||||||||||||||||||钟山县|钟山县城北路花园|0.034200|城镇住宅用地|协议出让|2019/6/6|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=bd5155ca-e4f1-46ff-8d10-f7ae1b708fc1|钟山县|4511222019B00334|李如雄|钟山县城北路花园|0.034200|0.034200|城镇住宅用地|协议出让|70|住宿业|三级|32.4900|李如雄|0.80|1.20||||||钟山县|2019年06月06日
长兴县|长兴县自然资源和规划局国有建设用地使用权挂牌出让公告(长土挂告字[2019]11号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8550&sitePath=|2019-77|4744平方米|龙山街道川步村|40年|大于1.3并且小于1.35||||餐饮用地|0万元/公顷|131万元||641万元|5万元|2019年06月21日08时30分|2019年07月03日09时30分||2019年07月01日16时00分|||||||||||||||||||||||||||||
长兴县|长兴县自然资源和规划局国有建设用地使用权挂牌出让公告(长土挂告字[2019]11号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8550&sitePath=|2019-83|83平方米|泗安镇毛家村|40年|大于1.3并且小于1.4||||旅馆用地|0万元/公顷|11万元||11万元|5万元|2019年06月21日08时30分|2019年07月03日11时30分||2019年07月01日16时00分|||||||||||||||||||||||||||||
|||||||||||||||||||||||公安县|公安县南平镇黄家�路236号第1幢1层|0.021115|城镇住宅用地|协议出让|2019/6/4|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=10e57e12-5228-4c6c-85fa-82ec126c33e3|公安县|4210222019B05615|住宅|公安县南平镇黄家垱路236号第1幢1层|0.021115|0.021115|城镇住宅用地|协议出让|70|居民服务业|一级|4.9500|肖才梅||||||||公安县人民政府|2019年06月04日
长兴县|长兴县自然资源和规划局国有建设用地使用权挂牌出让公告(长土挂告字[2019]11号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8550&sitePath=|2019-85|197平方米|泗安镇毛家村|40年|大于1.3并且小于1.4||||旅馆用地|0万元/公顷|26万元||26万元|5万元|2019年06月21日08时30分|2019年07月03日14时00分||2019年07月01日16时00分|||||||||||||||||||||||||||||
长兴县|长兴县自然资源和规划局国有建设用地使用权挂牌出让公告(长土挂告字[2019]11号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8550&sitePath=|2019-89|163平方米|泗安镇毛家村|40年|大于1.3并且小于1.4||||旅馆用地|0万元/公顷|21万元||21万元|5万元|2019年06月21日08时30分|2019年07月03日15时20分||2019年07月01日16时00分|||||||||||||||||||||||||||||
嘉兴市本级|嘉兴市自然资源和规划局国有建设用地使用权挂牌出让公告(嘉土秀洲[2019]第6号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8527&sitePath=|2019嘉秀洲-010号|9720平方米|王江泾镇，云锦路西侧、肖家荡北侧|50年|大于或等于1.1并且小于或等于1.6|小于或等于60|大于或等于15|小于或等于24|工业用地|4800万元/公顷|100万元||486万元|5元/平方米|2019年06月20日10时00分|2019年07月03日10时00分||2019年07月01日17时00分|||||||||||||||||||||||||||||
象山县|象山县自然资源和规划局国有建设用地使用权拍卖出让公告(象自然资规出工告字〔2019〕13号)|拍卖|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8529&sitePath=|茅洋乡银洋村LG工业地块1|16803平方米|茅洋乡银洋村|46年|大于或等于1并且小于或等于2|小于或等于55||小于或等于24|工业用地|4050万元/公顷|491万元||491万元|1万元||||2019年06月20日16时00分|||||||||||||||||||||||||||||
